stock,day,sentiment
ABAX,2018-05-18 00:00:00+00:00,0.4215
ABAX,2018-07-06 00:00:00+00:00,0.0
ABAX,2018-08-01 00:00:00+00:00,0.7579
ABB,2020-04-01 00:00:00+00:00,-0.4215
ABB,2020-04-06 00:00:00+00:00,0.37895
ABB,2020-04-15 00:00:00+00:00,-0.1591
ABB,2020-04-29 00:00:00+00:00,0.8625
ABB,2020-05-14 00:00:00+00:00,-0.891
ABB,2020-05-18 00:00:00+00:00,0.8934
ABB,2020-05-26 00:00:00+00:00,0.8225
ABB,2020-06-03 00:00:00+00:00,0.872
ABBV,2020-05-18 00:00:00+00:00,0.296
ABBV,2020-05-21 00:00:00+00:00,0.0
ABBV,2020-05-27 00:00:00+00:00,-0.1901
ABBV,2020-06-01 00:00:00+00:00,0.07594999999999999
ABBV,2020-06-02 00:00:00+00:00,0.0
ABBV,2020-06-04 00:00:00+00:00,0.0
ABBV,2020-06-08 00:00:00+00:00,0.0
ABBV,2020-06-10 00:00:00+00:00,0.1779
ABC,2020-05-08 00:00:00+00:00,0.0
ABC,2020-05-11 00:00:00+00:00,0.0
ABC,2020-05-13 00:00:00+00:00,-0.8841
ABC,2020-05-15 00:00:00+00:00,-0.128
ABC,2020-05-18 00:00:00+00:00,0.8519
ABC,2020-05-20 00:00:00+00:00,0.9287
ABC,2020-05-26 00:00:00+00:00,0.4019
ABC,2020-05-29 00:00:00+00:00,0.4767
ABC,2020-06-03 00:00:00+00:00,0.0
ABC,2020-06-05 00:00:00+00:00,0.0
ABCB,2020-03-12 00:00:00+00:00,-0.2023
ABCB,2020-03-16 00:00:00+00:00,-0.2023
ABCB,2020-03-19 00:00:00+00:00,-0.2023
ABCB,2020-04-06 00:00:00+00:00,-0.128
ABCB,2020-04-23 00:00:00+00:00,-0.2263
ABCB,2020-05-05 00:00:00+00:00,0.0
ABCB,2020-05-13 00:00:00+00:00,-0.6486
ABCB,2020-05-14 00:00:00+00:00,0.04684999999999999
ABCB,2020-05-22 00:00:00+00:00,0.0
ABCD,2018-10-15 00:00:00+00:00,0.05363333333333333
ABCD,2018-10-16 00:00:00+00:00,-0.064
ABCD,2018-10-30 00:00:00+00:00,0.0
ABCD,2018-11-01 00:00:00+00:00,0.0
ABCO,2017-08-29 00:00:00+00:00,0.2910142857142857
ABCO,2017-10-02 00:00:00+00:00,0.25
ABCO,2017-11-08 00:00:00+00:00,0.0
ABCO,2017-11-15 00:00:00+00:00,0.4939
ABCW,2015-04-30 00:00:00+00:00,-0.296
ABCW,2015-07-02 00:00:00+00:00,-0.3612
ABCW,2015-07-30 00:00:00+00:00,-0.296
ABCW,2015-09-18 00:00:00+00:00,0.2023
ABCW,2016-01-12 00:00:00+00:00,0.22199999999999998
ABCW,2016-01-13 00:00:00+00:00,0.0
ABCW,2016-01-29 00:00:00+00:00,0.0
ABDC,2019-05-06 00:00:00+00:00,0.0
ABDC,2019-08-07 00:00:00+00:00,0.0
ABDC,2019-08-13 00:00:00+00:00,0.0007499999999999915
ABDC,2019-08-14 00:00:00+00:00,0.0
ABDC,2019-11-05 00:00:00+00:00,0.5994
ABEV,2020-02-18 00:00:00+00:00,-0.6808
ABEV,2020-02-27 00:00:00+00:00,0.0
ABEV,2020-03-05 00:00:00+00:00,-0.6124
ABEV,2020-03-09 00:00:00+00:00,0.0
ABEV,2020-03-24 00:00:00+00:00,0.368
ABEV,2020-04-03 00:00:00+00:00,-0.128
ABEV,2020-04-27 00:00:00+00:00,0.296
ABEV,2020-05-26 00:00:00+00:00,0.8658
ABEV,2020-05-27 00:00:00+00:00,0.8402
ABEV,2020-06-08 00:00:00+00:00,0.5423
ABG,2020-04-17 00:00:00+00:00,0.0
ABG,2020-05-05 00:00:00+00:00,0.059199999999999996
ABG,2020-05-06 00:00:00+00:00,0.184
ABG,2020-05-18 00:00:00+00:00,0.0
ABGB,2015-12-18 00:00:00+00:00,0.0
ABGB,2015-12-23 00:00:00+00:00,0.6124
ABGB,2015-12-24 00:00:00+00:00,0.128
ABGB,2015-12-30 00:00:00+00:00,-0.2023
ABGB,2016-02-02 00:00:00+00:00,-0.0258
ABGB,2016-02-03 00:00:00+00:00,0.0
ABGB,2016-03-29 00:00:00+00:00,0.148
ABGB,2016-04-06 00:00:00+00:00,0.26335
ABIO,2020-06-01 00:00:00+00:00,0.13238333333333333
ABIO,2020-06-02 00:00:00+00:00,0.0
ABIO,2020-06-10 00:00:00+00:00,0.19733333333333333
ABM,2020-03-05 00:00:00+00:00,0.0
ABM,2020-03-12 00:00:00+00:00,-0.2023
ABM,2020-03-16 00:00:00+00:00,-0.2023
ABM,2020-03-23 00:00:00+00:00,-0.2023
ABM,2020-03-26 00:00:00+00:00,0.0
ABM,2020-03-27 00:00:00+00:00,-0.128
ABM,2020-04-01 00:00:00+00:00,-0.07945
ABM,2020-05-18 00:00:00+00:00,-0.128
ABM,2020-05-27 00:00:00+00:00,0.0
ABMD,2020-04-30 00:00:00+00:00,0.26886666666666664
ABMD,2020-05-01 00:00:00+00:00,0.0
ABMD,2020-05-28 00:00:00+00:00,0.0
ABMD,2020-06-01 00:00:00+00:00,-0.1779
ABMD,2020-06-05 00:00:00+00:00,0.8074
ABR,2020-04-14 00:00:00+00:00,0.11530000000000004
ABR,2020-04-15 00:00:00+00:00,-0.6801
ABR,2020-04-17 00:00:00+00:00,0.872
ABR,2020-05-08 00:00:00+00:00,0.5106
ABR,2020-05-13 00:00:00+00:00,-0.6486
ABR,2020-05-14 00:00:00+00:00,0.296
ABR,2020-05-19 00:00:00+00:00,0.0
ABR,2020-06-05 00:00:00+00:00,0.9337
ABR,2020-06-08 00:00:00+00:00,0.7906
ABTL,2017-08-03 00:00:00+00:00,-0.148
ABTL,2017-08-04 00:00:00+00:00,0.12647999999999998
ABTL,2017-09-06 00:00:00+00:00,0.0
ABTL,2017-10-02 00:00:00+00:00,0.0
ABTL,2017-10-09 00:00:00+00:00,0.0
ABX,2018-12-06 00:00:00+00:00,0.0
ABX,2018-12-14 00:00:00+00:00,-0.6249
ABX,2018-12-17 00:00:00+00:00,0.23835
ABX,2018-12-20 00:00:00+00:00,0.5859
ABX,2019-01-02 00:00:00+00:00,0.4215
ABX,2019-01-17 00:00:00+00:00,0.0
ABX,2019-07-01 00:00:00+00:00,0.0
ABX,2019-08-02 00:00:00+00:00,0.0
ABY,2016-05-13 00:00:00+00:00,0.0
ABY,2016-08-31 00:00:00+00:00,0.0
ABY,2017-02-27 00:00:00+00:00,0.0
ABY,2017-02-28 00:00:00+00:00,0.24914999999999998
ABY,2017-03-07 00:00:00+00:00,0.0
ABY,2017-04-12 00:00:00+00:00,0.296
ABY,2017-11-01 00:00:00+00:00,0.0
ABY,2017-11-13 00:00:00+00:00,0.0
ACAD,2020-05-08 00:00:00+00:00,-0.011340000000000006
ACAD,2020-05-13 00:00:00+00:00,-0.8841
ACAD,2020-05-21 00:00:00+00:00,0.0
ACAD,2020-05-26 00:00:00+00:00,-0.707
ACAD,2020-05-27 00:00:00+00:00,0.0
ACAD,2020-05-28 00:00:00+00:00,0.0
ACAS,2016-05-17 00:00:00+00:00,0.0
ACAS,2016-05-23 00:00:00+00:00,0.131675
ACAS,2016-05-24 00:00:00+00:00,0.0
ACAS,2016-08-03 00:00:00+00:00,0.0
ACAS,2016-08-04 00:00:00+00:00,0.368
ACAS,2016-11-03 00:00:00+00:00,0.0
ACAS,2016-12-15 00:00:00+00:00,-0.128
ACAT,2017-01-26 00:00:00+00:00,0.12457499999999999
ACAT,2017-01-30 00:00:00+00:00,0.10115
ACAT,2017-02-01 00:00:00+00:00,0.0
ACAT,2017-02-07 00:00:00+00:00,0.0
ACAT,2017-02-28 00:00:00+00:00,0.296
ACAT,2017-04-10 00:00:00+00:00,0.0
ACC,2020-04-17 00:00:00+00:00,0.872
ACC,2020-04-20 00:00:00+00:00,-0.2294
ACC,2020-04-21 00:00:00+00:00,-0.6369
ACC,2020-05-01 00:00:00+00:00,-0.6369
ACC,2020-05-18 00:00:00+00:00,0.91
ACC,2020-05-26 00:00:00+00:00,0.872
ACC,2020-06-01 00:00:00+00:00,0.6597
ACC,2020-06-03 00:00:00+00:00,0.872
ACC,2020-06-05 00:00:00+00:00,0.8402
ACCO,2020-02-12 00:00:00+00:00,0.6808
ACCO,2020-02-13 00:00:00+00:00,0.0
ACCO,2020-03-12 00:00:00+00:00,-0.2023
ACCO,2020-03-16 00:00:00+00:00,-0.2023
ACCO,2020-03-19 00:00:00+00:00,-0.2023
ACCO,2020-03-23 00:00:00+00:00,-0.2023
ACCO,2020-04-13 00:00:00+00:00,0.39225
ACCO,2020-05-04 00:00:00+00:00,-0.1806
ACCU,2013-09-03 00:00:00+00:00,0.0772
ACE,2015-11-19 00:00:00+00:00,0.0
ACE,2015-11-23 00:00:00+00:00,0.0
ACE,2015-12-02 00:00:00+00:00,0.0
ACE,2015-12-07 00:00:00+00:00,0.5267
ACE,2015-12-08 00:00:00+00:00,0.296
ACE,2015-12-16 00:00:00+00:00,0.2023
ACE,2015-12-30 00:00:00+00:00,0.6369
ACE,2016-01-13 00:00:00+00:00,0.25
ACE,2016-01-14 00:00:00+00:00,0.6808
ACE,2016-02-16 00:00:00+00:00,-0.296
ACET,2018-12-20 00:00:00+00:00,-0.2732
ACET,2019-02-20 00:00:00+00:00,0.07335
ACET,2019-02-21 00:00:00+00:00,0.0386
ACET,2019-02-27 00:00:00+00:00,-0.1531
ACET,2019-03-08 00:00:00+00:00,0.4939
ACET,2019-03-11 00:00:00+00:00,0.8225
ACFC,2017-06-09 00:00:00+00:00,0.06743333333333333
ACFC,2017-10-24 00:00:00+00:00,0.0
ACFC,2017-11-17 00:00:00+00:00,0.5606
ACFC,2018-01-23 00:00:00+00:00,0.0
ACFC,2018-03-22 00:00:00+00:00,0.0
ACFC,2018-05-10 00:00:00+00:00,0.0
ACFN,2014-09-23 00:00:00+00:00,0.0
ACFN,2014-10-29 00:00:00+00:00,0.2732
ACFN,2014-10-31 00:00:00+00:00,0.5106
ACFN,2014-11-06 00:00:00+00:00,0.2732
ACFN,2014-11-12 00:00:00+00:00,0.2732
ACFN,2014-11-20 00:00:00+00:00,0.4939
ACFN,2015-03-31 00:00:00+00:00,0.0
ACFN,2015-05-15 00:00:00+00:00,-0.1806
ACFN,2015-11-16 00:00:00+00:00,-0.0258
ACG,2014-06-25 00:00:00+00:00,0.296
ACG,2015-04-16 00:00:00+00:00,0.3378333333333334
ACG,2015-08-28 00:00:00+00:00,-0.5423
ACGL,2020-05-22 00:00:00+00:00,0.41135
ACGL,2020-05-23 00:00:00+00:00,0.0
ACGL,2020-05-27 00:00:00+00:00,0.8779
ACGL,2020-05-29 00:00:00+00:00,0.1027
ACGL,2020-06-01 00:00:00+00:00,0.8442
ACGL,2020-06-02 00:00:00+00:00,0.9062
ACGL,2020-06-05 00:00:00+00:00,0.8402
ACGL,2020-06-09 00:00:00+00:00,0.7506
ACGL,2020-06-10 00:00:00+00:00,0.5267
ACH,2020-03-11 00:00:00+00:00,-0.2023
ACH,2020-03-12 00:00:00+00:00,-0.2023
ACH,2020-03-16 00:00:00+00:00,-0.2023
ACH,2020-03-19 00:00:00+00:00,-0.2023
ACH,2020-03-20 00:00:00+00:00,-0.2023
ACH,2020-03-23 00:00:00+00:00,-0.2023
ACH,2020-04-17 00:00:00+00:00,0.8979
ACH,2020-04-20 00:00:00+00:00,-0.2732
ACH,2020-05-22 00:00:00+00:00,-0.6249
ACH,2020-05-27 00:00:00+00:00,0.0
